index	code	severity	ratio	expected	transcript	missing_words	inserted_words
1107	prd098	repeat	0.16	pare pareho lang po ang presyo nila, kahit ano pa pong kulay ang piliin.	Paribayan ang pumpes na iya, gaya itang nang papukulay ang beyan.	pare pareho lang po presyo nila kahit ano pa pong kulay piliin	paribayan pumpes na iya gaya itang nang papukulay beyan
557	num048	repeat	0.167	three pm po kayo tumawag ulit para makuha ang tracking details ninyo.	Taripayin po kait ang mga bulit para makuwaan lakang detayas n'yong.	three pm kayo tumawag ulit makuha ang tracking details ninyo	taripayin kait ang mga bulit makuwaan lakang detayas n yong
683	obj074	repeat	0.167	wag po kayong mag alangan, nagpapadala po kami ng litrato bago namin i ship.	Pagpukay maganahan, nadpapad nalabukami nalit na nito bago namin ishit.	wag po kayong mag alangan nagpapadala kami ng litrato i ship	pagpukay maganahan nadpapad nalabukami nalit na nito ishit
612	obj003	repeat	0.174	balikan niyo lang po kami kapag nakapagdesisyon na kayong tuluyang bumili.	Paritay nilang pukomay kapad na kapad decision na kayong tuloy ang bungili.	balikan niyo lang po kami kapag nakapagdesisyon tuluyang bumili	paritay nilang pukomay kapad na kapad decision tuloy ang bungili
1036	prd027	repeat	0.174	available po ang red and blue, ano pong kulay ang gusto ninyo?	Available by Red in View. Ano po kula yung gusin nyo?	ang red and blue ano pong kulay gusto ninyo	by red in view ano kula yung gusin nyo
572	num063	repeat	0.182	eight thirty pm po kami huling tumatanggap ng tawag mula sa customer.	Kater G-10 kami horing tumatandap na tawag malasa costumer.	eight thirty pm po huling tumatanggap ng mula sa customer	kater g 10 horing tumatandap na malasa costumer
1045	prd036	repeat	0.19	sakto po ang dating ninyo, nag restock po kami kaninang umaga lang.	Sa atopong natin nalista po kami tinig ng magbalang.	sakto po ang dating ninyo nag restock kaninang umaga lang	sa atopong natin nalista tinig ng magbalang
535	num026	repeat	0.2	zero nine two seven, six four one, two three four five po ang number.	0-927-641-2345 ang number.	zero nine two seven six four one three five po	0 927 641 2345
917	prc058	repeat	0.2	kung iisahin niyo po, two hundred ang presyo ng bawat piraso.	Kuyisahin nyo po, 200 na pressure ng bayot pedaso.	kung iisahin niyo two hundred ang presyo bawat piraso	kuyisahin nyo 200 na pressure bayot pedaso
640	obj031	repeat	0.207	naiintindihan ko po, mag usap muna kayo ng asawa ninyo bago kayo bumili.	May hindihan ko po, mapusap mo na kaya ng asa ko ay nyo bako kaya bumigay.	naiintindihan mag usap muna kayo asawa ninyo bago bumili	may hindihan mapusap mo na kaya asa ko ay nyo bako kaya bumigay
571	num062	repeat	0.211	four thousand five hundred one pesos po ang kabuuang halaga ngayon.	$4,501 po ang kabo ang halada mayon.	four thousand five hundred one pesos kabuuang halaga ngayon	4 501 kabo ang halada mayon
555	num046	repeat	0.222	zero nine five six, seven eight nine, zero one two three po ito.	0956-789-0123 po ito.	zero nine five six seven eight one two three	0956 789 0123
669	obj060	repeat	0.222	huwag po kayong matakot, maaasahan ninyo na totoo ang aming sinasabi.	Pagpukayong matakot, maasahan yung atutawang ami sinasabi.	huwag po kayong maaasahan ninyo na totoo ang aming	pagpukayong maasahan yung atutawang ami
918	prc059	repeat	0.222	bale aabot po lahat ng one thousand fifty pesos.	Balia, abut mo na halap ng 1,050 pesos.	bale aabot po lahat one thousand fifty	balia abut mo na halap 1 050
317	fup008	repeat	0.231	baka po gusto ninyong ituloy na ang pag order habang mayroon pa kaming stock.	Pahapuks ninyo ito ay nang pag-order habang may run pahaming staff.	baka po gusto ninyong ituloy na ang mayroon pa kaming stock	pahapuks ninyo ito ay nang may run pahaming staff
357	fup048	repeat	0.24	wag po kayong mag alala, hindi ko na po kayo kukulitin pagkatapos nitong tawag.	Bung pukayong maglalala, hindi ko na pukayong kukulitan pagdatapos itong tawad.	wag po kayong mag alala kayo kukulitin pagkatapos nitong tawag	bung pukayong maglalala pukayong kukulitan pagdatapos itong tawad
656	obj047	repeat	0.24	babalikan ko po kayo sa biyernes upang malaman ang inyong huling pasya.	Baabadikang tukpo kayo sa beer nais yung pangmalaman ng inging huling ba siya.	babalikan ko po biyernes upang malaman ang inyong pasya	baabadikang tukpo beer nais yung pangmalaman ng inging ba siya
55	cls056	repeat	0.25	maraming salamat sa masayang pag uusap natin, hanggang sa muli nating pagkikita!	Marami sarangat sa nagsayang pag-usap namin, handan sa mo nilating pagtikita.	maraming salamat masayang uusap natin hanggang muli nating pagkikita	marami sarangat nagsayang usap namin handan mo nilating pagtikita
528	num019	repeat	0.25	twenty five percent downpayment po muna ang kailangan nating i settle ngayon.	25% ang payment po mo na ang kailangan natin isa to niyon.	twenty five percent downpayment muna nating i settle ngayon	25 ang payment mo na natin isa to niyon
940	prc081	repeat	0.261	wala po tayong tubo diyan dahil benta palugi na po natin iyan.	Bula putain tubo dyan dahil benda pala din na punating yan.	wala po tayong diyan benta palugi natin iyan	bula putain dyan benda pala din punating yan
1066	prd057	repeat	0.261	kung gusto niyo po, itong kabilang brand na lang ang kunin ninyo.	Bungus nyo po, ito kami lang brand na nang angkunin nyo.	kung gusto niyo itong kabilang lang ang kunin ninyo	bungus nyo ito kami lang nang angkunin nyo
381	fup072	repeat	0.267	baka po sakaling nagbago ang isip niyo tungkol sa pinag usapan nating bulk order kahapon.	Baka po sa kaling nagbabawang isip nilatong kusapin ang kusapan nating bako quarter ka hapon.	sakaling nagbago isip niyo tungkol sa pinag usapan bulk order kahapon	sa kaling nagbabawang isip nilatong kusapin kusapan bako quarter ka hapon
545	num036	repeat	0.273	zero nine four seven, five eight six, three two one zero po ang number.	0-947-586-321-0 po ang number.	zero nine four seven five eight six three two one	0 947 586 321 0
964	prc105	repeat	0.273	kapag pina rush niyo po ang order, may additional na one hundred.	Apag pinag rush ng pang order by additional now 100.	kapag pina niyo po ang may na one hundred	apag pinag ng pang by now 100
328	fup019	repeat	0.276	susubukan ko po kayong tawagan ulit bukas ng umaga para sa inyong desisyon.	So siya bukaw na bukaw yung tawada nalit bukas nang mga ba para sa inyong decision.	susubukan ko po kayong tawagan ulit ng umaga desisyon	so siya bukaw na bukaw yung tawada nalit nang mga ba decision
395	fup086	repeat	0.276	pasensya na po kung nakakaistorbo sa pahinga ninyo, mabilis lang po itong pag uusapan natin.	Pasensyon na pukon nakakastorbo sa pahingin nyo. Nabilis ng puit ang pag-usapan natin.	pasensya po kung nakakaistorbo pahinga ninyo mabilis lang itong uusapan	pasensyon pukon nakakastorbo pahingin nyo nabilis ng puit ang usapan
459	grt050	repeat	0.276	hello po ulit! si christine ito, ano pong additional na kailangan nating i check?	Pero po, o let's interesting dito. Ano po condition na nakayalangan natin e-check?	hello ulit si christine ito pong additional kailangan nating i	pero o let s interesting dito po condition nakayalangan natin e
503	grt094	repeat	0.286	sigurado po akong maihahatid ito sa tamang oras, wag po kayong mag alala.	Sigurod na po ako mga yung hati dito sa tamang oras. Pagpukay mo gala-lala.	sigurado akong maihahatid ito wag po kayong mag alala	sigurod na ako mga yung hati dito pagpukay mo gala lala
995	prc136	repeat	0.286	bawat isang metro po ng tela ay nagkakahalaga ng ninety pesos.	Mawot isang metropolantela ay nagkakahan na din ang 90 pesos.	bawat metro po ng tela nagkakahalaga ninety	mawot metropolantela nagkakahan na din ang 90
1055	prd046	repeat	0.286	ang pinagkaiba lang po nila ay yung size at yung kulay.	Ang pinag-ayban ang punila ay ang sasat ang kulay.	pinagkaiba lang po nila yung size at	pinag ayban ang punila ang sasat ang
130	dlv031	repeat	0.296	good news po, na pick up na ng courier ang inyong package kanina!	Good news pop, napit up nila na queer year na ninyong backstage sya nina.	po pick up ng courier ang inyong package kanina	pop napit up nila queer year ninyong backstage sya nina
690	obj081	repeat	0.296	huwag po kayong mangamba, legal at rehistrado po ang aming maliit na negosyo.	Mabukay ang mga ba, digal at re-hestada po ang aning malit ng negosyo.	huwag po kayong mangamba legal rehistrado aming maliit na	mabukay ang mga ba digal re hestada aning malit ng
737	obj128	repeat	0.296	kung gusto niyo po ng peace of mind, i cash on delivery na lang natin.	Kumbusi yung po ng pisa kumain, kikasyon ng liwi na nang natin.	kung gusto niyo peace of mind i cash on delivery lang	kumbusi yung pisa kumain kikasyon ng liwi nang
798	pay039	repeat	0.296	sigurado pong hindi kayo madodoble ng charge sa inyong credit card ngayon.	Si Villana pang hindi kaya madadobo na nang charge sign yung credit card niya yan.	sigurado pong kayo madodoble ng sa inyong ngayon	si villana pang kaya madadobo na nang sign yung niya yan
967	prc108	repeat	0.3	ibabawas po natin yung five hundred galing sa una ninyong binayaran.	Ibabawaspo natin yung 500 yadeng sa unan yung binayanan.	ibabawas po five hundred galing una ninyong binayaran	ibabawaspo 500 yadeng unan yung binayanan
115	dlv016	repeat	0.308	wag po kayong mag alala, tatawag muna ang rider bago siya pumunta diyan.	Won't pukayong makalala. Tataw mo na ang rider babo siya pumunta jyan.	wag po kayong mag alala tatawag muna bago diyan	won t pukayong makalala tataw mo na babo jyan
377	fup068	repeat	0.308	nais ko lang kamustahin ang lagay ng iyong biniling gamit pagkatapos ng ilang buwan.	Na, AISkulaw, kamusta nilaladay ng yung binining damit pagkatapos na ilang buwan.	nais ko lang kamustahin ang lagay iyong biniling gamit ng	na aiskulaw kamusta nilaladay yung binining damit na
616	obj007	repeat	0.308	paumanhin po, ngunit iyon na po ang pinakamababang presyo na aming maibibigay.	Paomantin po, ngunit yun na pampin na kamabag pampersion na kami mo di-dijay.	paumanhin iyon po ang pinakamababang presyo aming maibibigay	paomantin yun pampin kamabag pampersion na kami mo di dijay
666	obj057	repeat	0.308	naiintindihan ko ang inyong pag aalala, ngunit sisiguraduhin kong maayos itong makakarating.	Na-entindihan ko ang inyong pagalala. Munit si Sibola din kung makayos itong makakalating.	naiintindihan pag aalala ngunit sisiguraduhin kong maayos makakarating	na entindihan pagalala munit si sibola din kung makayos makakalating
800	pay041	repeat	0.308	kailangan po muna nating magbayad ng downpayment bago umpisahan ang inyong project.	Chila ang pumunan natin mag-biden ng payment babo ang bisahan ng inyong project.	kailangan po muna nating magbayad downpayment bago umpisahan	chila ang pumunan natin mag biden payment babo bisahan ng
0	cls001	repeat	0.32	pasensya na po ulit sa naging abala kanina, salamat sa pag unawa ninyo.	Pasensyon na po alitso na dihabala kami na, salamat sa pagunawan nyo.	pasensya ulit sa naging abala kanina pag unawa ninyo	pasensyon alitso na dihabala kami na pagunawan nyo
228	dlv129	repeat	0.32	ipapadala po natin sa lbc para mas sigurado kayong makakarating nang ligtas.	Bapadala po natin sa Gid para masigulado ko yung makakahanating ng lead task.	ipapadala lbc mas sigurado kayong makakarating nang ligtas	bapadala gid masigulado ko yung makakahanating ng lead task
515	num006	repeat	0.32	paki check po ang numerong zero nine one seven, eight eight eight, one two three four.	Paki-check po ang number nung 0917-888-1234.	numerong zero nine one seven eight two three four	number nung 0917 888 1234
577	num068	repeat	0.32	five thirty am po kami magbubukas ng shop para sa mga suki.	5.30 am po kami mo bubukas na siya, payas na ma suki.	five thirty magbubukas ng shop para sa mga	5 30 mo bubukas na siya payas na ma
1035	prd026	repeat	0.32	oo naman po, sobrang ganda ng quality ng materyales na ginamit diyan.	Pwala mo naman po, so ben dandanong parity ng materialas na dinamit dyan.	oo sobrang ganda quality ng materyales ginamit diyan	pwala mo so ben dandanong parity materialas dinamit dyan
1052	prd043	repeat	0.32	hahanapan ko po kayo ng magandang alternative kung sakaling wala na ito.	Hanapang kukukay na malandang ato na tip ko sa kaling wala na ito.	hahanapan po kayo ng magandang alternative kung sakaling	hanapang kukukay na malandang ato na tip sa kaling
1077	prd068	repeat	0.32	medyo manipis po ang tela nito kumpara doon sa unang tinanong ninyo.	Medyo manipis ko ako dahil anit ako para dawin sa unan tinanong inyo.	po ang tela nito kumpara doon unang ninyo	ko ako dahil anit ako para dawin unan inyo
352	fup043	repeat	0.323	kailan po kaya kayo magkakaroon ng libreng oras para mapag usapan natin ito ulit?	Tayo yung po kayo ay mga mga nalibay ko, Ras, para mag-usapan na rin ito ilet.	kaya kailan magkakaroon ng libreng oras mapag natin ulit	tayo yung ay mga mga nalibay ko ras mag na rin ilet
390	fup081	repeat	0.323	tumatawag ako para kamustahin kung nasubukan niyo nang tawagan yung binigay kong numero.	Tomatawa ba ako? Paano ako mustang yung kung nasubukan yun at taba akong danyong binigay kong numen o?	tumatawag para kamustahin niyo nang tawagan yung numero	tomatawa ba paano ako mustang yung yun at taba akong danyong numen o
510	num001	repeat	0.323	maaari po bang pakisulat ang contact number na zero nine one seven, three four five, six seven eight nine?	Mahalay po bang pakasulat ang kontak number na 0-917-345-6789?	maaari pakisulat contact zero nine one seven three four five six eight	mahalay pakasulat kontak 0 917 345 6789
117	dlv018	repeat	0.333	makakaasa po kayong ipapadala namin agad ang replacement parcel ninyo bukas.	Paka-kasap o kay, ipadod namin ni Dad ang replacement person ni Bukas.	makakaasa po kayong ipapadala agad parcel ninyo	paka kasap o kay ipadod ni dad person ni
511	num002	repeat	0.333	two thousand five hundred pesos po lahat ang total ng bibilhin ninyo ngayon.	2,500 pesos po lahat ang portal nang bebezining yung mayon.	two thousand five hundred total ng bibilhin ninyo ngayon	2 500 portal nang bebezining yung mayon
513	num004	repeat	0.333	three pieces na lang po ang natitira sa kulay itim na kailangan ninyo.	3 pises na nang pang matikirasa kulay, tinun na kailangan inyo.	three pieces lang po ang natitira sa itim ninyo	3 pises nang pang matikirasa tinun inyo
553	num044	repeat	0.333	forty percent off po ang ibinigay naming discount sa lumang stock ngayon.	40% off po ang idenghyay namin the sound sa dumang stack mayan.	forty percent ibinigay naming discount lumang stock ngayon	40 idenghyay namin the sound dumang stack mayan
938	prc079	repeat	0.333	ang huling presyo na binigay sa amin para diyan ay three hundred.	Ang honing price mo nabinigay sa amin para Jan 8th of 800.	huling presyo na binigay diyan ay three hundred	honing price mo nabinigay jan 8th of 800
372	fup063	repeat	0.345	tumatawag ako para i check kung napag usapan niyo na ng pamilya niyo ang pagbili.	Sa matawagong ko para i-check kung napabusapan yan ang pamilyan yung ang pabiliyay.	tumatawag ako napag usapan niyo na ng pamilya pagbili	sa matawagong ko napabusapan yan pamilyan yung ang pabiliyay
379	fup070	repeat	0.345	tumatawag po ako para batiin kayo at alamin kung kailangan niyo ng bagong supply.	Tomatawag po ako para batin sa'y baka namin kukol na ngayon ng babong supply.	tumatawag batiin kayo at alamin kung kailangan niyo bagong	tomatawag batin sa y baka namin kukol na ngayon babong
397	fup088	repeat	0.345	huwag po kayong mag alala, gagawa kami ng paraan para matulungan kayong magka oras sa susunod.	Magpukay ang magalala, lagawa kami ng parahan para matungwanti ang maggaora sa susunod.	huwag po kayong mag alala gagawa paraan matulungan magka oras	magpukay ang magalala lagawa parahan matungwanti ang maggaora
447	grt038	repeat	0.345	pwede ko po ba kayong i hold nang sandali para ma verify ko ang account niyo?	Pwede kong paka kaya ihold ng Sundale para maverify ko ang account ninyo.	ko po ba kayong i hold nang sandali ma verify niyo	kong paka kaya ihold ng sundale maverify ninyo
401	fup092	repeat	0.348	tumatawag po ako para itanong kung pwedeng i reschedule sa ten am.	Nimatawa po ako para itan ng kong pwede niliskejo sa 10am.	tumatawag itanong kung pwedeng i reschedule ten am	nimatawa itan ng kong pwede niliskejo 10am
468	grt059	repeat	0.348	magandang hapon po! jane po ang pangalan ko, paano ko po kayo mapagsisilbihan?	Pagandang hapunpok, jeng pang palan ko, paano ko kayo mapagsisindihan?	po magandang hapon jane ang pangalan mapagsisilbihan	pagandang hapunpok jeng pang palan mapagsisindihan
556	num047	repeat	0.348	one thousand one hundred pesos po ang babayaran para sa bawat set.	1,000 mon haning pesos po ang babayanan pa sa mawakset.	one thousand hundred babayaran para bawat set	1 000 mon haning babayanan pa mawakset
637	obj028	repeat	0.348	paumanhin po, sadyang nagtaas lang po talaga ng puhunan kaya ganyan.	Paamanhing po sa dyan at tasang po talaga ng pungunan tiada niyan.	paumanhin sadyang nagtaas lang puhunan kaya ganyan	paamanhing sa dyan at tasang pungunan tiada niyan
784	pay025	repeat	0.348	bayad na po ang lahat, kaya maghihintay na lang kayo sa delivery!	May adepo ang lahak, kaya magigintay na nang kayo sa delivery.	bayad po ang lahat kaya maghihintay na lang	may adepo ang lahak kaya magigintay nang
974	prc115	repeat	0.348	kapag tinotal po natin kasama yung discount, pumatak po ng two thousand.	Tapag tinokal po natin sa Maying discount, matakpo ng 2,000.	kapag tinotal kasama yung pumatak po two thousand	tapag tinokal sa maying matakpo 2 000
43	cls044	repeat	0.357	tatawag po ulit kami kapag kailangan pa namin ng karagdagang impormasyon mula sa inyo.	Tatawag bukulit ng mika pag-vela ng panamin ng karagdadang information mula sa inyo.	po ulit kami kapag kailangan pa namin karagdagang impormasyon	bukulit mika pag vela ng panamin ng karagdadang information
75	cls076	repeat	0.357	taos puso po kaming nagpapasalamat, pagpalain po nawa kayo ng ating maykapal ngayon!	Tawas puso ko kaming natpapasanamat. Pagpalain po na waka yan ng hateng baita pa yun.	taos po nagpapasalamat nawa kayo ating maykapal ngayon	tawas ko natpapasanamat na waka yan hateng baita pa yun
759	obj150	repeat	0.357	makakaasa po kayo na kahit bumili kayo o hindi, ituturing namin kayong mahalaga.	Kakaasa po kayo, nakakahit mo may di kayo hindi, ito tuwi namin to yung mahalada.	o makakaasa na kahit bumili ituturing kayong mahalaga	kakaasa nakakahit mo may di ito tuwi to yung mahalada
133	dlv034	repeat	0.364	bukas na bukas din po ay matatanggap niyo na ang inyong parcel!	Bukas ang kasin po, ay matatandap niya nangin yung parcel.	na bukas din matatanggap niyo ang inyong	ang kasin matatandap niya nangin yung
172	dlv073	repeat	0.364	araw araw po kaming nagpapadala ng packages tuwing four pm.	Paaw, araw po kaming nagpapad na nang package at 3.40 PM.	araw nagpapadala ng packages tuwing four	paaw nagpapad na nang package at 3 40
508	grt099	repeat	0.364	magandang umaga po ulit! salamat po sa pagtawag pabalik para i confirm ang order niyo.	Bua ganda kong mag-apulik sa nangapos sa pag-tawag, pag-balay para i-confirm ang order nyo.	magandang umaga po ulit salamat pagtawag pabalik niyo	bua ganda kong mag apulik nangapos sa pag tawag pag balay nyo
525	num016	repeat	0.364	zero nine one nine, five four three, two one zero nine po ang contact number.	0919-543-2109 po ang contact number.	zero nine one five four three two	0919 543 2109
547	num038	repeat	0.364	four pm po tayo magkita malapit sa main entrance ng building.	4 people tayo magkita maglapit sa May and Trance ng Bayadin.	four pm po malapit main entrance building	4 people maglapit may and trance bayadin
596	num087	repeat	0.364	eight forty pesos po ang eksaktong halaga ng inorder ninyong item.	Page 40 pesas po ang exaktong kanadanang in-order ninyong item.	eight forty pesos eksaktong halaga ng inorder	page 40 pesas exaktong kanadanang in order
662	obj053	repeat	0.364	makikita ninyo ang pagkakaiba ng aming produkto kapag hinawakan ninyo ito.	Makatitay ninyo kong pagdakaiba ng aming produk ko kapag sinawakan dito.	makikita ang pagkakaiba produkto hinawakan ninyo ito	makatitay kong pagdakaiba produk ko sinawakan dito
873	prc014	repeat	0.364	sobrang baba na po ng presyo natin diyan kumpara sa iba.	Sogram barba na punang priceon natin dyan kung para sa iba.	sobrang baba po ng presyo diyan kumpara	sogram barba punang priceon dyan kung para
70	cls071	repeat	0.37	kagalakan po naming matulungan kayo, nawa ay maging maganda ang inyong buong linggo!	Tadalakan po naming matanungan tayo, na wa'y mading magandang ang inyong buong ningo.	kagalakan matulungan kayo nawa ay maging maganda linggo	tadalakan matanungan tayo na wa y mading magandang ningo
171	dlv072	repeat	0.37	kayo po ang magbabayad ng shipping fee direkta sa mismong lalamove rider.	Sayo po ang mababa'y ng shipping, feed direct, as ang ispong lalam of rider.	kayo magbabayad fee direkta sa mismong lalamove	sayo mababa y feed direct as ang ispong lalam of
205	dlv106	repeat	0.37	saang barangay po eksakto ang inyong lokasyon para ma pin natin nang maayos?	Sa ang baron ay po, exacto ang inyong location para mapin natin ang makayos.	saang barangay eksakto lokasyon ma pin nang maayos	sa ang baron ay exacto location mapin ang makayos
331	fup022	repeat	0.37	pasensya na po kung nakakaistorbo ako sa inyong trabaho sa ganitong oras ngayon.	Pasensyon ako naka-install. Bua ako sa inyong nabawa sa danitong oras niya yun.	pasensya na po kung nakakaistorbo trabaho ganitong ngayon	pasensyon ako naka install bua nabawa danitong niya yun
368	fup059	repeat	0.37	binabalikan ko po ang inyong mensahe tungkol sa nagka aberyang pagpapadala noong isang araw.	Minabalitan po po ang inyong mensahitong kung sunatabili ang papakadanan ng isang araw.	binabalikan ko mensahe tungkol sa nagka aberyang pagpapadala noong	minabalitan po mensahitong kung sunatabili ang papakadanan ng
527	num018	repeat	0.37	nine am po kami magsisimulang tumanggap ng mga tawag mula sa mga kliyente.	Nain din po kami magsisima ng tumandot ng mga tavag mo lasong mga cliente.	nine am magsisimulang tumanggap tawag mula sa kliyente	nain din magsisima ng tumandot tavag mo lasong cliente
717	obj108	repeat	0.37	sadyang mas mahal lang po nang kaunti dahil mas makapal ang telang ginamit.	Sadyo mas mahal ang poh ng kawin tayo dahil mas makapalang tila ang dinamit.	sadyang lang po nang kaunti makapal telang ginamit	sadyo ang poh ng kawin tayo makapalang tila dinamit
980	prc121	repeat	0.37	iche check ko muna kung magkano na ang inabot ng pinagsama samang order niyo.	Isu-chat ko muna kumaganon na naminabot ng pinaisama sa mga order nyo.	iche check kung magkano ang inabot pinagsama samang niyo	isu chat kumaganon naminabot pinaisama sa mga nyo
1007	prc148	repeat	0.37	babawasan ko na lang po ng bente pesos dahil medyo matagal po kayong naghintay.	Malbawasan po na nangpunang 20 pesos dahil medyo matadal po kayo na ikintay.	babawasan ko lang po ng bente matagal kayong naghintay	malbawasan po nangpunang 20 matadal kayo na ikintay
1050	prd041	repeat	0.37	iche check ko muna sa likod, wag kayong mag alala, baka meron pa.	Isi-check kung mo na sa likod, mo gay mo lalala, baka meran pa.	iche ko muna wag kayong mag alala meron	isi kung mo na mo gay mo lalala meran
300	eng051	repeat	0.381	would you like me to reserve one unit for you today?	With the eight meters, serve one head for you today.	would you like me to reserve unit	with the eight meters serve head
570	num061	repeat	0.381	transaction code nine hundred po ang binigay sa amin sa chat.	Tan-saction board, 980 ang bingigay sa amen sa chat.	transaction code nine hundred po binigay amin	tan saction board 980 bingigay amen
