index	code	severity	small_ratio	turbo_ratio	likely_words	expected	small	turbo
375	fup066	critical	0.125	0.625	wag, po, kayong, mabahala, maghihintay, kami, inyong, tawag, kahit, kailan, kayo, maging	wag po kayong mabahala, maghihintay po kami sa inyong tawag kahit kailan kayo maging handa.	Mabukay mo ba hala, magiging tayo bukame sa inyan pa wad dahil jailan, tayo mo ding handa.	Huwag po kayo mabahala. Huwag hihintay po kami sa inyong pawag kahit kailan kayo mo din handa.
870	prc011	critical	0.4	0.37	swerte, nag, extend, kami, ng, hanggang, mamayang, sale	swerte po ninyo, nag extend kami ng flash sale hanggang mamayang gabi!	Shwetit po ninyo, bagay xe namin ang flash sale, handong mamay ang gabi.	Swede po ninyo, mag-i-xend. Daming yung flash sa iyo hanggang mamay ang gabi.
510	num001	critical	0.323	0.467	maaari, pakisulat, contact, zero, nine, one, seven, three, four, five, six, eight	maaari po bang pakisulat ang contact number na zero nine one seven, three four five, six seven eight nine?	Mahalay po bang pakasulat ang kontak number na 0-917-345-6789?	Maari po bang pakisulat ang contact number na 0917-345-6789?
882	prc023	critical	0.381	0.421	lang, three, hundred, babayaran, niyo, para, diyan, na	yes, three hundred na lang po ang babayaran niyo para diyan.	Yes, 300 na po ang babayanan, nyo pa na dyan.	Yes, $300 po ang babayaran nyo pala dyan.
1066	prd057	critical	0.261	0.545	kung, gusto, niyo, itong, kabilang, lang, ang, kunin, ninyo	kung gusto niyo po, itong kabilang brand na lang ang kunin ninyo.	Bungus nyo po, ito kami lang brand na nang angkunin nyo.	Pumuso niyo po, itong kamilang brand na nang aanko ninyo.
612	obj003	critical	0.174	0.636	balikan, niyo, lang, po, kami, kapag, nakapagdesisyon, tuluyang, bumili	balikan niyo lang po kami kapag nakapagdesisyon na kayong tuluyang bumili.	Paritay nilang pukomay kapad na kapad decision na kayong tuloy ang bungili.	Palitani lang po kami kapag nakapag-desisyon na kayong tuluyin bumili.
546	num037	critical	0.455	0.364	two, thousand, one, hundred, naging, kabuuang, gastos, pesos	two thousand one hundred pesos po ang naging kabuuang gastos sa materials.	2100 pesos po ang nating kabo ang Dastos sa materials.	P2,100 po ang naidin kabo ang gasto sa materials.
390	fup081	critical	0.323	0.5	tumatawag, para, kamustahin, niyo, nang, tawagan, yung, numero, kung	tumatawag ako para kamustahin kung nasubukan niyo nang tawagan yung binigay kong numero.	Tomatawa ba ako? Paano ako mustang yung kung nasubukan yun at taba akong danyong binigay kong numen o?	Tumatawag ako, paano kong mustang hindi kong nasubukan nyo na tapawagan yung binigay kong numero?
556	num047	critical	0.348	0.476	one, thousand, hundred, babayaran, para, bawat, set, pesos	one thousand one hundred pesos po ang babayaran para sa bawat set.	1,000 mon haning pesos po ang babayanan pa sa mawakset.	P1,100 po ang babayanan pa sa bawat set.
181	dlv082	critical	0.16	0.667	pwede, rin, po, kayong, gumamit, grab, express, para, mabilis, makarating	pwede rin po kayong gumamit ng grab express para mas mabilis makarating.	Koy di bing kong kayo yung tumamit ng DrabExpress pa mas pabilis makalating.	Pwede din kung kayong tumamit ng Love Express para mas mabilis makarating.
717	obj108	critical	0.37	0.462	sadyang, lang, po, nang, kaunti, makapal, telang, ginamit, ang	sadyang mas mahal lang po nang kaunti dahil mas makapal ang telang ginamit.	Sadyo mas mahal ang poh ng kawin tayo dahil mas makapalang tila ang dinamit.	Sadya mas mahal lang po ng kauntay dahil mas makapalang deadline din namit.
357	fup048	critical	0.24	0.593	wag, po, kayong, mag, alala, kayo, kukulitin, pagkatapos, nitong, tawag	wag po kayong mag alala, hindi ko na po kayo kukulitin pagkatapos nitong tawag.	Bung pukayong maglalala, hindi ko na pukayong kukulitan pagdatapos itong tawad.	Huwag po kayong maglalala. Hindi ko na po kayong kukulitin pagdatapos itong tawag.
288	eng039	critical	0.417	0.417	zero, nine, one, seven, three, four, five, six, eight	you can reach us at zero nine one seven, three four five, six seven eight nine.	You can reach us at 0917-345-6789.	You can reach us at 0917-345-6789.
317	fup008	critical	0.231	0.615	baka, po, gusto, ninyong, ituloy, na, ang, mayroon, pa, kaming, stock	baka po gusto ninyong ituloy na ang pag order habang mayroon pa kaming stock.	Pahapuks ninyo ito ay nang pag-order habang may run pahaming staff.	Paka-post yung ituloy ng pag-order habang mayroon pa kaming stock.
572	num063	critical	0.182	0.667	eight, thirty, pm, po, huling, tumatanggap, ng, mula, sa, customer	eight thirty pm po kami huling tumatanggap ng tawag mula sa customer.	Kater G-10 kami horing tumatandap na tawag malasa costumer.	Kaya i-targetin po kami huling tumatandap ng tawag mula sa customer.
300	eng051	critical	0.381	0.476	would, you, like, me, to, reserve, unit, one	would you like me to reserve one unit for you today?	With the eight meters, serve one head for you today.	We delight my to reserve 1 minute for you today.
669	obj060	critical	0.222	0.636	huwag, po, kayong, maaasahan, ninyo, na, totoo, ang, aming	huwag po kayong matakot, maaasahan ninyo na totoo ang aming sinasabi.	Pagpukayong matakot, maasahan yung atutawang ami sinasabi.	Pag po kayo matakot, maasahan niyo na totoo ang aming sinasabi.
637	obj028	critical	0.348	0.522	paumanhin, sadyang, nagtaas, lang, puhunan, kaya, ganyan	paumanhin po, sadyang nagtaas lang po talaga ng puhunan kaya ganyan.	Paamanhing po sa dyan at tasang po talaga ng pungunan tiada niyan.	Paumanhin po, sa dyan nagtaas na po talaga ng pumunang tiada niyan.
982	prc123	critical	0.435	0.435	ang, puhunan, lang, po, diyan, kalahati, ngayon, bentahan	ang puhunan lang po namin diyan ay halos kalahati ng bentahan ngayon.	Ampug ng 60 namin dyan ay halos palahati ng bentahan yun.	Pampung ng nampu namin dyan ay halos palahati ng bendahan ngayon.
377	fup068	critical	0.308	0.571	nais, ko, lang, kamustahin, ang, lagay, iyong, biniling, gamit, ng	nais ko lang kamustahin ang lagay ng iyong biniling gamit pagkatapos ng ilang buwan.	Na, AISkulaw, kamusta nilaladay ng yung binining damit pagkatapos na ilang buwan.	Nakaayos ko lang kamustahin ang laday na yung bininding damit pagkatapos ng ilang buwan.
1035	prd026	critical	0.32	0.56	oo, sobrang, ganda, quality, ng, materyales, ginamit, diyan	oo naman po, sobrang ganda ng quality ng materyales na ginamit diyan.	Pwala mo naman po, so ben dandanong parity ng materialas na dinamit dyan.	Oo naman po, so bandan na ng quality ng materiadas na dinamit dyan.
166	dlv067	critical	0.5	0.381	kapag, metro, kinabukasan, nandiyan, agad, ito, manila, lang, po, na	kapag sa metro manila lang po, kinabukasan ay nandiyan na agad ito.	Tapag sa Maito Manila lang po, dina bukasan ay nandyan na velito.	Tapag sa meto manilalampo, kinabukasan ay nandiyan naga dito.
964	prc105	critical	0.273	0.609	kapag, pina, niyo, po, ang, may, na, one, hundred	kapag pina rush niyo po ang order, may additional na one hundred.	Apag pinag rush ng pang order by additional now 100.	Pag pina-rush nyo po ang order by additional na 100,
1055	prd046	critical	0.286	0.6	pinagkaiba, lang, po, nila, yung, size, at	ang pinagkaiba lang po nila ay yung size at yung kulay.	Ang pinag-ayban ang punila ay ang sasat ang kulay.	Ang pinagkaiba ng punila ay yung sesat yung kulay.
521	num012	critical	0.476	0.421	three, thousand, eight, hundred, seventy, five, kabuuang, pesos	three thousand eight hundred seventy five pesos po ang kabuuang babayaran ninyo.	3,875 pesos po ang tabu ang babayaran ninyo.	P3,875 po ang kabuang babayaran ninyo.
887	prc028	critical	0.5	0.4	sulit, ang, ibabayad, pangmatagalan, kalidad, niyo, dahil	sulit po ang ibabayad niyo dahil pangmatagalan ang kalidad ng produkto natin.	Suwit po hibabain niyo dahil pang matagaran ng validad ng produkto natin.	Subit po kay babay nyo dahil pong matadaran ang kalignad ng produkto natin.
940	prc081	critical	0.261	0.64	wala, po, tayong, diyan, benta, palugi, natin, iyan	wala po tayong tubo diyan dahil benta palugi na po natin iyan.	Bula putain tubo dyan dahil benda pala din na punating yan.	Wala po tayong tubo dyan dahil benda pala din na po natin yan.
815	pay056	critical	0.385	0.519	i, scan, niyo, lang, qr, code, ipapadala, ko, ngayon	i scan niyo lang po ang qr code na ipapadala ko sa inyo ngayon.	Isan nilang po ang prepode na ita, padan ako sa inyo mayyan.	Isan nyo lang po ang pre-code na itapadan ako sa inyo mayroon.
459	grt050	critical	0.276	0.643	hello, ulit, si, christine, ito, pong, additional, kailangan, nating, i	hello po ulit! si christine ito, ano pong additional na kailangan nating i check?	Pero po, o let's interesting dito. Ano po condition na nakayalangan natin e-check?	Pero po ulit si Twisting ito. Ano po conditional na kailangan natin i-check?
675	obj066	critical	0.444	0.48	nauunawaan, kung, kayo, nagdududa, ngunit, libo, parokyano, na, ang	nauunawaan ko po kung bakit kayo nagdududa, ngunit libo na ang aming parokyano.	Naunawan ko po kong bakit siya na dindunda, mong nitsibon ang aming parokyan, no?	Naunawan ko po kung bakit siya nandidunda kung nitidibo ng aming parokyano.
587	num078	critical	0.462	0.462	seven, thirty, pm, uusap, ulit, tungkol	seven thirty pm po tayo mag uusap ulit tungkol sa inyong order.	7.30 p.m. po, tayo mag-boost sa ponetong ko sa inyong order.	7.30pm po tayo mag-boost na po na itong ko sa inyong order.
28	cls029	critical	0.4	0.526	two, thousand, five, hundred, total, ng, bibilhin, pesos	two thousand five hundred pesos po ang total ng inyong bibilhin.	2,500 pesos po ang totam na inyong bibezin.	P2,500 po ang total ng inyong bibirin.
591	num082	critical	0.4	0.526	five, thousand, eight, hundred, pesos, biniling, kagamitan	five thousand eight hundred pesos po ang total ng biniling kagamitan.	P5,800 po ang total ng meniling ka-damitan.	P5,800 po ang total ng biniling kalamitan.
401	fup092	critical	0.348	0.583	tumatawag, itanong, kung, pwedeng, i, reschedule, ten, am	tumatawag po ako para itanong kung pwedeng i reschedule sa ten am.	Nimatawa po ako para itan ng kong pwede niliskejo sa 10am.	Matawag po ako para itanong kung pwedeng nilischedule sa 10 E.M.
860	prc001	critical	0.583	0.348	swerte, naka, sale, ng, twenty, percent, naku, po, tayo	naku, swerte po kayo kasi naka sale po tayo ngayon ng twenty percent!	Naku, shorty po kayo kasi nakasilo po tayo ngayon na 20%.	Nako, shorty po kayo kasi nakasilipot pa ngayon na 20%.
737	obj128	critical	0.296	0.643	kung, gusto, niyo, peace, of, mind, i, cash, on, delivery, lang	kung gusto niyo po ng peace of mind, i cash on delivery na lang natin.	Kumbusi yung po ng pisa kumain, kikasyon ng liwi na nang natin.	Kung bushingo po ng peace of mind, heat action delivery na nang natin.
70	cls071	critical	0.37	0.571	kagalakan, matulungan, kayo, nawa, ay, maging, maganda, linggo	kagalakan po naming matulungan kayo, nawa ay maging maganda ang inyong buong linggo!	Tadalakan po naming matanungan tayo, na wa'y mading magandang ang inyong buong ningo.	Tatalakan po naming matulungan sa'yo na waaay mo din maganda ang inyong buong linggo.
368	fup059	critical	0.37	0.571	binabalikan, ko, mensahe, tungkol, sa, nagka, aberyang, pagpapadala, noong	binabalikan ko po ang inyong mensahe tungkol sa nagka aberyang pagpapadala noong isang araw.	Minabalitan po po ang inyong mensahitong kung sunatabili ang papakadanan ng isang araw.	Binabilitan ko po ang inyong mensahe tungkol na tabili ang papapadala ng isang araw.
511	num002	critical	0.333	0.609	two, thousand, five, hundred, total, ng, bibilhin, ninyo, ngayon, pesos	two thousand five hundred pesos po lahat ang total ng bibilhin ninyo ngayon.	2,500 pesos po lahat ang portal nang bebezining yung mayon.	P2,500 po lahat ang total ng BBC ninyo ngayon.
42	cls043	critical	0.385	0.56	bukas, nang, umaga, sisimulan, ang, pagbalot, gamit	bukas po nang umaga namin sisimulan ang pagbalot ng inyong mga gamit.	Bukos po lang ang mabanda namin, sisi mula ng pabarad ng inyong mga damit.	Bukas po lang mga baga namin sisimula ng pagbarad ng inyong mga gamit.
165	dlv066	critical	0.385	0.56	ninyong, piliin, kung, kailan, ninyo, gustong, matanggap, ang	pwede po ninyong piliin kung kailan ninyo gustong matanggap ang inyong package.	Pwede po rin yung piling ko kaila niya gusto mata ang rapang inyong package.	Pwede po rin yung piliin kung kailan niya gusto matanda pang inyong package.
115	dlv016	critical	0.308	0.64	wag, po, kayong, mag, alala, tatawag, muna, bago, diyan	wag po kayong mag alala, tatawag muna ang rider bago siya pumunta diyan.	Won't pukayong makalala. Tataw mo na ang rider babo siya pumunta jyan.	Huwag po kayo makalala. Tatawag muna ang rider bago siya pumunta dyan.
209	dlv110	critical	0.48	0.48	ipapalagay, kahon, na, fragile, ingat, ang, magdedeliver, mag	ipapalagay ko po sa kahon na fragile para mas mag ingat ang magdedeliver.	Ipapadoday ko po sa kakakuna, Fredel, para mas matingyat ang mag-deliver.	Ipapaladay ko po sa Kakona Fradel para mas magingat ang magde-deliver.
177	dlv078	critical	0.4	0.56	iiwan, lang, daw, ng, guard, ang, inyong, parcel, po	iiwan na lang daw po ng rider sa guard house ang inyong parcel.	Iwan na nanda po na rider sa Dwarth House ng Indian Parcell.	Iwan na lang dapo na rider sa drive house ng inyong parcel.
690	obj081	critical	0.296	0.667	huwag, po, kayong, mangamba, legal, rehistrado, aming, maliit, na	huwag po kayong mangamba, legal at rehistrado po ang aming maliit na negosyo.	Mabukay ang mga ba, digal at re-hestada po ang aning malit ng negosyo.	Huwag po kayong mga ba, tigal at rehestada po ang aning maliit na negosyo.
967	prc108	critical	0.3	0.667	ibabawas, po, five, hundred, galing, una, ninyong, binayaran	ibabawas po natin yung five hundred galing sa una ninyong binayaran.	Ibabawaspo natin yung 500 yadeng sa unan yung binayanan.	Ibabawas po natin yung 500 galing sa una ninyang binayanan.
989	prc130	critical	0.526	0.444	ang, nakalista, rito, three, hundred, sixty, pesos	ang nakalista po rito na bayarin ay three hundred sixty pesos.	Pagmakalista po, ito na bayarin ay 360 pesos.	Pangmakalista po dito na bayarin ay P360.
958	prc099	critical	0.4	0.571	four, hundred, seventy, five, eksaktong, halaga, pesos	four hundred seventy five pesos po ang eksaktong halaga.	475 pesos po ang exaktong halagla.	P475 po ang eksaktong halaga.
704	obj095	critical	0.435	0.538	wag, po, kayong, ire, resibo, agad, iyan, kabahan	wag po kayong kabahan sa online payment, ire resibo po namin agad iyan.	Pwumpukaw yung kabahan sa online payment, inilisi buko namin nagdadiyan.	Huwag po kayong kabahas sa online payment. Ili-receive po namin naglali yan.
666	obj057	critical	0.308	0.667	naiintindihan, pag, aalala, ngunit, sisiguraduhin, kong, maayos, makakarating	naiintindihan ko ang inyong pag aalala, ngunit sisiguraduhin kong maayos itong makakarating.	Na-entindihan ko ang inyong pagalala. Munit si Sibola din kung makayos itong makakalating.	Naintindihan ko ang inyong pag-aalala, ngunit sisiguradihin ko maayos itong makakalating.
795	pay036	critical	0.5	0.48	ang, ligtas, dahil, secured, aming, inyong	ligtas po ang inyong bank details dahil secured ang aming online portal.	Litas po inyong bank details na yung secure dung aning online portal.	Pilitas po rin yung bank details na yung secured ng aning online portal.
143	dlv044	critical	0.444	0.538	ipadala, agad, ito, via, lalamove, nagmamadali, nating	pwede po nating ipadala agad ito via lalamove kung nagmamadali po kayo.	Pwede po nating ipadalaad na dito, vayon na nang mub kung nang mamadali po kayo.	Pwede po natin ipadala ka dalito via na na-move kung nabamadali po kayo.
970	prc111	critical	0.4	0.583	fifty, percent, muna, kailangan, nating, ideposito, bago	fifty percent po muna ang kailangan nating ideposito bago natin i process.	50% po mo na ang kajangan natin di posito bako natin i-process.	50% po ang kailangan natin i-deposit ito bago natin i-process.
1092	prd083	critical	0.4	0.583	dalawang, warranty, niyan, mula, nang, bilhin, niyo	dalawang taon po ang warranty niyan mula nang bilhin niyo sa amin.	Delobong taon po ang gawad ng tingyan nula ng bidding nyo sa amin.	Dalawang taon po ang board na tingnan mula ng bilinyo sa amin.
1077	prd068	critical	0.32	0.667	po, ang, tela, nito, kumpara, doon, unang, ninyo	medyo manipis po ang tela nito kumpara doon sa unang tinanong ninyo.	Medyo manipis ko ako dahil anit ako para dawin sa unan tinanong inyo.	Medyo manipis ko ang dalanit ako para doon sa unang tinanong ninyo.
379	fup070	critical	0.345	0.643	tumatawag, batiin, kayo, at, alamin, kung, kailangan, niyo, bagong	tumatawag po ako para batiin kayo at alamin kung kailangan niyo ng bagong supply.	Tomatawag po ako para batin sa'y baka namin kukol na ngayon ng babong supply.	Pamatawag po ako para batihin siya at alamin kung kailangan niya ng babong supply.
447	grt038	critical	0.345	0.645	ko, po, ba, kayong, i, hold, nang, sandali, ma, verify, niyo	pwede ko po ba kayong i hold nang sandali para ma verify ko ang account niyo?	Pwede kong paka kaya ihold ng Sundale para maverify ko ang account ninyo.	Pwede ko pa kayang i-hold ng sundali para ma-verify ko ang account nyo.
133	dlv034	critical	0.364	0.636	na, bukas, din, matatanggap, niyo, ang, inyong	bukas na bukas din po ay matatanggap niyo na ang inyong parcel!	Bukas ang kasin po, ay matatandap niya nangin yung parcel.	Bukas-bukas din po ay matatanggap nyo nangin yung parcel.
665	obj056	critical	0.462	0.538	wag, kayong, mag, alala, one, hundred, percent, ibinebenta	wag kayong mag alala, one hundred percent authentic po itong ibinebenta namin sa inyo.	Okay mo talala, 100% authentic po itong ibe-benta namin sa inyo.	Huwag kayong mong dalala, 100% authentic po itong ibibenta namin sa inyo.
311	fup002	critical	0.444	0.56	niyo, pa, rin, hello, nagbabasakali, kinowt, kanina, yung	hello po, nagbabasakali lang kung kailangan niyo pa rin yung kinowt namin kanina.	Helo po, nabababak sa kalig lang kung kailangan yung paing yung kinawag namin danina.	Hello po, nababasakali lang kung kailangan nyo pa inyong kinawag namin, Danina.
471	grt062	critical	0.387	0.625	magandang, araw, pagpili, sa, aming, shop, po, ba, kayong, ipapa, follow	magandang araw! salamat sa pagpili sa aming shop, may order po ba kayong ipapa follow up?	Uden dahara ako, salamat sa pagpinisa amin siya. May order ko bakit ipapap-follow up.	Ulan ng araw, salamat sa pagpili sa amin siya. May order ko ba kayong ipapafollow up?
980	prc121	critical	0.37	0.643	iche, check, kung, magkano, ang, inabot, pinagsama, samang, niyo, ko	iche check ko muna kung magkano na ang inabot ng pinagsama samang order niyo.	Isu-chat ko muna kumaganon na naminabot ng pinaisama sa mga order nyo.	Isi-check mo muna kung magano na ang inabot ng pinaysama-samang order nyo.
1007	prc148	critical	0.37	0.643	babawasan, ko, lang, po, ng, bente, matagal, kayong, naghintay	babawasan ko na lang po ng bente pesos dahil medyo matagal po kayong naghintay.	Malbawasan po na nangpunang 20 pesos dahil medyo matadal po kayo na ikintay.	Mabawasan ito na lang po ng 20 pesos dahil medyo matadal po kayong nagkintay.
152	dlv053	critical	0.552	0.462	oo, naman, kayong, delivery, mabilis, same, day	oo naman po, pwede kayong mag request ng same day delivery para mabilis!	O halang po, pwede kayo mag-request ng same day to the week para mag-bedes.	Puanan po, pwede kayo mag-request ng Send Data TV para magbe-desk.
